"","name","module","disease","padj_CJD","lFC_CJD","padj_FFI","lFC_FFI"
"9","1110051M20Rik",1,"neither",NA,NA,NA,NA
"16","1700003E16Rik",1,"neither",NA,NA,NA,NA
"20","1810009A15Rik",1,"neither",NA,NA,NA,NA
"24","2210016L21Rik",1,"neither",NA,NA,NA,NA
"30","2310061I04Rik",1,"neither",NA,NA,NA,NA
"31","2410002F23Rik",1,"neither",NA,NA,NA,NA
"38","2610507B11Rik",1,"neither",NA,NA,NA,NA
"42","4930402H24Rik",1,"neither",NA,NA,NA,NA
"44","4932438A13Rik",1,"FFI",NA,NA,0.0151676209534848,-0.384077816175312
"45","4933427D14Rik",1,"neither",NA,NA,NA,NA
"48","5730409E04Rik",1,"neither",NA,NA,NA,NA
"50","6030458C11Rik",1,"neither",NA,NA,NA,NA
"52","6430548M08Rik",1,"neither",NA,NA,NA,NA
"54","9130401M01Rik",1,"neither",NA,NA,NA,NA
"58","9930104L06Rik",1,"neither",NA,NA,NA,NA
"61","A930011G23Rik",1,"neither",NA,NA,NA,NA
"62","Aaas",1,"neither",NA,NA,NA,NA
"63","Aagab",1,"neither",NA,NA,NA,NA
"66","Aamp",1,"neither",NA,NA,NA,NA
"67","Aar2",1,"neither",NA,NA,NA,NA
"68","Aars",1,"neither",NA,NA,NA,NA
"69","Aars2",1,"neither",NA,NA,NA,NA
"72","Aatk",1,"neither",NA,NA,NA,NA
"73","Abat",1,"neither",NA,NA,NA,NA
"74","Abca2",1,"neither",NA,NA,NA,NA
"75","Abca3",1,"neither",NA,NA,NA,NA
"77","Abca8a",1,"neither",NA,NA,NA,NA
"81","Abcb9",1,"neither",NA,NA,NA,NA
"82","Abcc5",1,"neither",NA,NA,NA,NA
"83","Abcc8",1,"neither",NA,NA,NA,NA
"87","Abcf1",1,"neither",NA,NA,NA,NA
"88","Abcf2",1,"neither",NA,NA,NA,NA
"89","Abcf3",1,"neither",NA,NA,NA,NA
"90","Abcg1",1,"neither",NA,NA,NA,NA
"91","Abcg4",1,"neither",NA,NA,NA,NA
"95","Abhd16a",1,"neither",NA,NA,NA,NA
"102","Abhd6",1,"neither",NA,NA,NA,NA
"103","Abhd8",1,"neither",NA,NA,NA,NA
"104","Abi1",1,"neither",NA,NA,NA,NA
"107","Abr",1,"neither",NA,NA,NA,NA
"108","Abtb1",1,"neither",NA,NA,NA,NA
"111","Acaca",1,"neither",NA,NA,NA,NA
"112","Acad8",1,"neither",NA,NA,NA,NA
"113","Acad9",1,"neither",NA,NA,NA,NA
"115","Acadm",1,"FFI",NA,NA,0.00546898755861041,-0.419209024255149
"116","Acadsb",1,"neither",NA,NA,NA,NA
"117","Acadvl",1,"neither",NA,NA,NA,NA
"119","Acap3",1,"neither",NA,NA,NA,NA
"120","Acat1",1,"neither",NA,NA,NA,NA
"121","Acat2",1,"neither",NA,NA,NA,NA
"127","Acin1",1,"neither",NA,NA,NA,NA
