name,module,lfc_FFI,fdr_FFI,lfc_CJD,fdr_CJD,disease,degree,betweenness
0610009B22Rik,3,-0.0145033509450439,0.957203879978485,-0.0767983741000043,0.640670133784047,neither,NA,NA
0610010F05Rik,3,-0.124069127015729,0.542983440214861,-0.0265518291920146,0.905715567191216,neither,NA,NA
0610010K14Rik,2,0.156336973483447,0.423185604521956,0.0345790368119766,0.869383812315649,neither,NA,NA
0610012G03Rik,2,0.290026259664069,0.0908423018775981,0.133372340914824,0.456593575986706,neither,NA,NA
1110004F10Rik,4,0.165271526358081,0.359047249839677,0.0408405462202827,0.854099561222613,neither,NA,NA
1110008P14Rik,2,0.286341739918783,0.108375093432983,0.0772630311381316,0.67208228771922,neither,NA,NA
1110032A03Rik,2,0.250385674273755,0.145466859412509,0.15822764547831,0.360392014754435,neither,NA,NA
1110038F14Rik,2,0.204160987377513,0.273397388367836,0.0941616887946204,0.605206768512976,neither,NA,NA
1110051M20Rik,1,0.0897990103364898,0.679153569212642,0.118657605182996,0.524777484505602,neither,NA,NA
1110059E24Rik,4,0.238490249973021,0.186193977294913,0.0106784469185324,0.96538395590156,neither,NA,NA
1110059G10Rik,4,0.00708111482340935,0.965562741304552,-0.0163173694386708,0.854657215636055,neither,NA,NA
1110065P20Rik,2,0.297724178430679,0.0930689336510613,0.15456485290908,0.368154374340624,neither,NA,NA
1500009C09Rik,2,0.148921456767496,0.429771179286346,0.0267918287721412,0.910882888814573,neither,NA,NA
1500009L16Rik,2,0.316195625750953,0.0743571485891692,0.231570126762085,0.148540534463375,neither,NA,NA
1700001L19Rik,2,0.142636562899136,0.463859433379259,0.0985382125432642,0.511598989235131,neither,NA,NA
1700003E16Rik,1,0.0714568935822268,0.760098182160451,0.00618419491346862,0.980529428057025,neither,NA,NA
1700025G04Rik,4,0.0631749798276253,0.783523695531974,-0.0845875748798281,0.67184281675063,neither,NA,NA
1700037H04Rik,2,0.183682460456565,0.323909536102099,0.105638188149384,0.580601706515154,neither,NA,NA
1700066M21Rik,4,0.136426722794515,0.447827529753118,-0.00125159970636491,0.994885088185543,neither,NA,NA
1810009A15Rik,1,0.0157039165442184,0.953042207095514,-0.0195714600748959,0.93448596819558,neither,NA,NA
1810013L24Rik,4,0.0792974215118317,0.728231866707427,-0.0432384450785497,0.824441902982611,neither,NA,NA
1810037I17Rik,4,0.300724951593587,0.072704788332355,0.0490286650369162,0.809911158244604,neither,NA,NA
1810058I24Rik,2,0.364593325977144,0.0212235467090011,0.250930718514032,0.120498905941704,FFI,NA,NA
2210016L21Rik,1,0.036633658600114,0.887914342941979,0.0353820703418495,0.874070446324065,neither,NA,NA
2210416O15Rik,2,0.0936513812758954,0.668348376798946,0.0786884697843117,0.689171321890613,neither,NA,NA
2310009B15Rik,2,0.21505091073428,0.244247886404281,0.0854311504250362,0.618299057392548,neither,NA,NA
2310011J03Rik,2,0.263422261054037,0.125317191941693,0.0504906921570983,0.809911158244604,neither,NA,NA
2310022A10Rik,2,0.118524559379031,0.571163369335398,0.0786597329748591,0.687030785045968,neither,NA,NA
