UniqueCount	AmbigCount
0	0
0	0
7	48
5	37
31	31
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
1	0
10	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	5
0	5
0	5
0	1
0	1
0	3
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	0
0	0
0	0
134	205
0	623
40	1604
4	254
5	1206
0	0
4	175
6	527
0	175
0	216
996	379
0	216
0	220
4	93
0	54
0	267
0	170
6	70
94	3605
0	3605
0	16
6	0
5	150
0	150
2	57
0	44
0	18
0	2
0	0
0	0
0	0
0	0
0	0
0	2640
37	4348
24	327
1	2454
0	177
0	135
217	4286
1	602
0	0
0	0
0	0
0	0
0	32
0	32
0	2
0	9
0	7
0	0
0	0
0	0
1	0
0	0
0	3
0	5
9	1
3	1
0	0
131	981
0	0
0	2
0	34
0	976
0	6
0	445
7	2
0	144
0	9
0	52
0	214
3	21
0	604
0	0
1	3
0	0
2	9
0	437
0	437
0	437
0	0
0	0
0	180
0	131
0	5
0	437
0	13
0	3
0	36
0	44
0	0
0	1
1	27
0	0
0	0
0	0
0	0
744	3758
0	79
0	0
0	2221
1	4
0	207
0	0
0	41
0	3604
1	3708
0	93
0	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	255
0	258
0	265
2	167
0	66
0	21
0	69
0	0
0	2
0	0
0	0
0	0
1	18
0	18
0	5
0	5
0	0
0	0
0	0
0	0
2	0
0	3
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
924	1
0	42
0	42
0	0
0	1
0	32
0	0
0	0
0	561
0	0
0	0
510	0
0	0
0	0
176	29
0	29
0	2
0	0
0	8
1480	4
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	59
0	56
0	59
0	0
0	32
0	50
0	0
0	0
0	59
0	0
0	2
0	45
0	1
0	10
0	0
0	1
0	1
0	1
0	0
0	0
1	66
0	57
0	31
0	35
17	34
0	0
0	1
0	1
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	1
0	0
251	2531
0	1607
3	1249
0	677
3	951
1	437
0	218
0	0
0	2
24	65
0	9
0	9
0	23
0	3
0	25
6	26
0	7
0	21
0	8
0	7
0	50
0	6
0	0
8	0
0	0
0	0
0	0
0	3
0	1
0	2
0	21
0	3
0	6
0	0
0	19
2258	708
0	385
0	193
0	47
0	9
0	0
0	74
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	0
0	0
358	77
0	0
0	6
0	0
0	6
0	0
0	10
0	13
0	65
0	19
0	0
6	69
4	19
0	1
0	1
