UniqueCount	AmbigCount
0	0
0	0
0	33
14	33
42	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
13	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	25
0	0
0	0
0	0
231	433
0	867
24	1865
0	255
9	1535
0	0
0	192
0	776
0	396
0	309
256	420
0	309
0	331
0	146
0	169
0	241
0	239
0	117
110	2267
0	2267
1	56
0	0
20	176
0	160
0	113
0	97
0	67
0	16
0	0
0	0
0	0
0	0
0	0
0	3125
29	4456
28	631
1	2378
0	383
0	283
166	4344
0	911
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
109	775
0	0
0	0
0	68
0	775
0	0
0	470
0	16
0	155
0	0
0	96
0	192
0	29
0	350
0	0
0	0
0	0
0	8
0	551
0	551
0	551
0	0
0	14
0	412
0	299
0	37
0	551
0	7
0	0
0	83
0	93
0	0
0	0
1	118
0	0
0	0
0	0
0	0
634	4209
0	252
0	0
0	1672
1	0
0	471
0	0
0	153
0	4007
0	4048
1	328
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	191
0	191
0	222
0	218
0	88
0	6
0	83
0	0
1	0
0	0
0	0
0	0
0	82
0	89
0	0
0	30
0	0
0	0
0	0
0	0
8	13
0	34
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
930	14
0	46
0	46
0	0
0	0
0	46
0	0
0	0
0	894
0	0
0	0
297	0
0	0
0	0
41	28
0	28
0	3
0	0
0	5
869	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	51
0	51
0	51
0	0
0	35
0	35
0	0
0	0
0	51
0	0
0	0
0	35
0	0
11	0
0	0
0	0
0	0
0	0
0	0
0	0
0	83
0	46
0	24
0	61
15	61
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
153	2381
0	1405
13	1377
0	817
0	1272
0	512
0	433
0	0
0	0
19	156
0	36
0	35
0	48
0	20
0	48
0	51
0	35
0	48
0	35
0	35
0	143
0	13
0	0
21	0
0	0
0	0
0	6
0	6
0	0
0	0
0	67
0	5
0	41
0	0
0	22
1574	854
0	352
0	251
0	61
0	0
0	0
0	190
0	0
0	13
0	26
0	0
0	0
0	0
0	0
10	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
542	187
0	0
0	9
0	0
0	0
6	0
0	95
0	95
0	178
0	70
0	0
0	33
12	15
0	0
0	0
