UniqueCount	AmbigCount
0	0
0	0
7	50
4	35
15	40
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
14	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	5
0	4
0	4
0	2
0	2
0	0
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
185	133
0	774
126	1768
4	256
1	1287
1	0
8	113
2	598
0	205
0	127
772	237
0	129
0	99
0	57
0	48
0	161
0	82
0	22
107	3024
2	3023
1	44
14	0
36	1018
3	1009
9	302
0	195
0	133
0	12
0	0
0	0
0	0
0	0
0	0
2	3865
100	6685
39	672
1	3665
0	315
0	158
497	6548
0	1131
0	0
0	0
0	0
3	2
0	375
0	375
0	14
0	71
0	26
0	0
0	0
0	0
44	0
0	0
0	0
0	2
16	0
0	0
0	0
83	1129
0	3
0	0
0	66
0	1118
1	26
0	502
2	6
0	175
0	8
0	46
5	247
2	18
0	589
0	0
0	0
0	0
14	7
0	140
0	140
0	140
0	1
0	1
0	49
0	32
0	2
0	140
0	0
0	0
0	5
0	18
0	0
0	0
1	4
0	0
0	0
0	0
0	0
461	2210
0	61
0	1
0	1252
0	0
0	135
0	0
0	26
0	2095
4	2166
0	77
0	0
0	0
0	0
6	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	522
0	533
0	557
2	480
0	200
2	37
0	214
0	0
1	4
0	0
0	0
0	0
2	79
0	85
0	1
0	1
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1186	0
4	50
0	46
0	4
0	1
0	31
0	0
0	0
0	606
0	1
0	1
1842	0
2	0
0	0
107	10
0	10
0	4
0	0
0	0
1655	0
0	3
0	2
1	0
0	0
0	3
0	0
0	0
5	242
0	229
0	244
0	1
0	157
0	192
0	0
0	0
0	242
0	0
0	8
0	182
0	6
1	14
1	0
0	2
0	0
0	1
0	0
1	2
3	87
0	53
0	15
0	28
6	35
0	0
0	10
0	10
0	0
0	4
0	10
1	10
0	5
0	1
0	0
0	5
0	0
221	2780
0	1530
14	1481
0	811
0	1309
1	496
0	279
1	0
0	1
26	64
0	2
0	2
0	15
0	1
2	40
2	41
0	2
0	14
0	2
0	2
1	57
0	2
0	0
13	0
0	0
0	0
2	0
1	0
0	1
0	1
0	16
0	0
0	9
0	0
0	12
1619	487
0	218
0	137
0	36
0	0
0	0
0	96
0	0
0	0
0	7
0	11
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	0
0	0
219	44
0	2
0	5
0	0
0	2
0	0
0	7
0	7
0	35
0	6
0	0
76	1449
54	309
