UniqueCount	AmbigCount
0	0
0	0
0	46
0	46
105	32
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	100
0	75
0	59
0	43
0	34
0	0
0	34
0	42
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
292	379
0	1301
161	2150
0	509
0	1388
11	0
0	343
0	1159
0	403
0	253
1401	407
0	253
0	241
13	103
0	74
17	268
0	214
0	50
86	3566
0	3566
0	22
0	0
94	661
10	661
11	241
0	164
0	119
0	0
0	0
0	0
0	0
0	0
0	0
0	5002
57	9067
47	1228
2	5803
0	603
20	328
764	8826
0	1998
0	0
0	0
0	0
0	0
0	113
0	113
0	30
0	48
0	48
0	0
0	0
0	0
82	0
0	0
0	0
0	0
0	0
0	0
0	0
0	515
0	0
0	0
0	13
0	515
0	0
0	126
0	0
0	29
0	13
0	0
0	69
0	0
0	425
0	0
0	0
0	0
26	65
0	127
0	127
0	127
0	0
0	0
0	36
0	10
0	0
0	127
0	0
0	0
0	10
0	20
0	0
0	0
1	134
0	0
0	0
0	0
0	0
453	712
0	0
0	0
0	323
0	0
0	0
0	0
0	0
0	659
0	712
0	166
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	488
0	457
0	540
0	438
0	139
0	16
0	214
0	0
0	0
0	0
0	0
0	0
0	105
0	119
0	19
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1069	0
16	507
29	460
0	86
0	71
0	409
0	0
0	0
0	285
4	0
14	0
3326	52
0	0
0	0
94	0
0	0
0	0
0	0
0	0
1158	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	172
0	172
0	172
0	0
0	77
22	103
0	0
0	0
0	172
0	0
0	0
0	103
0	0
0	35
0	0
0	0
0	0
0	0
0	0
0	0
0	233
19	211
0	36
0	36
10	36
0	0
0	23
0	23
0	0
0	0
0	27
0	27
0	13
0	13
0	0
0	0
0	0
154	2411
0	1101
53	1360
0	548
0	1194
18	321
0	300
0	0
0	0
25	61
0	0
0	0
0	15
0	0
0	24
5	24
0	0
0	15
0	0
0	0
0	40
0	0
0	0
26	0
0	0
0	0
0	0
0	0
0	0
0	0
0	18
0	0
0	0
0	0
0	21
333	45
0	0
0	27
0	0
0	0
0	0
0	18
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	64
0	0
0	0
414	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	0
0	0
82	1309
43	472
0	26
