UniqueCount	AmbigCount
0	0
0	0
44	181
13	160
54	76
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	10
0	0
0	0
0	10
0	10
0	0
0	10
0	10
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
202	401
6	375
26	673
3	175
0	436
0	0
0	81
0	259
0	63
0	220
813	377
0	220
0	227
0	165
0	48
15	299
0	166
0	66
85	1825
0	1825
1	35
32	0
0	531
14	503
0	232
0	198
0	99
0	28
0	0
0	0
0	0
0	0
0	0
0	3367
32	5411
5	642
6	3451
1	449
0	215
209	5326
0	1160
0	0
0	0
0	0
0	9
0	428
0	428
0	52
0	88
0	50
0	0
0	0
0	0
58	0
0	0
0	0
0	41
64	0
0	0
0	0
245	3406
0	0
0	0
0	361
0	3378
0	117
0	1610
0	40
1	497
0	72
0	118
0	647
0	42
0	1669
0	0
0	19
0	0
18	62
12	489
0	489
0	489
0	0
0	0
0	323
0	294
0	10
0	489
0	19
0	35
0	54
0	46
0	0
0	0
0	17
0	0
0	0
0	0
0	0
821	4214
0	155
0	0
0	2633
0	0
0	435
0	0
0	96
0	4056
0	4120
0	57
0	0
0	0
0	0
16	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	846
0	915
0	969
0	796
0	276
7	116
0	450
0	0
11	0
0	0
0	0
0	0
0	205
0	205
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
480	15
0	244
5	189
0	16
0	13
0	185
0	0
0	0
0	661
15	0
7	0
4456	8
0	0
0	0
131	10
9	10
0	0
0	0
15	10
2276	2
0	0
0	0
0	14
0	14
0	0
0	0
0	0
0	159
0	136
0	159
0	0
0	70
0	97
2	0
0	0
0	159
0	0
0	20
0	102
18	7
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	26
0	38
0	32
0	20
2	20
0	0
9	12
0	12
0	0
0	15
0	15
0	15
0	0
0	0
0	0
0	0
0	0
223	1798
0	1240
1	927
0	527
0	749
0	370
0	156
0	0
0	0
85	97
15	0
0	0
0	14
0	0
0	35
8	43
0	6
0	20
0	0
0	0
0	82
0	0
0	0
0	1
0	1
0	0
0	20
0	24
0	0
0	0
0	42
11	0
0	4
0	12
0	27
2441	1109
0	364
0	289
0	96
0	17
0	0
0	343
0	0
0	7
0	7
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	20
0	0
0	0
1065	311
0	0
0	76
0	0
0	39
0	0
0	51
0	32
0	207
0	40
0	0
37	1522
47	168
0	13
