UniqueCount	AmbigCount
0	0
0	0
0	27
3	19
21	15
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
7	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
8	67
0	54
0	54
1	46
0	24
0	10
0	30
0	25
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
120	152
1	473
59	948
12	156
2	662
2	0
12	96
0	377
0	130
0	306
852	508
0	306
1	237
0	142
0	94
1	347
0	206
4	50
119	2493
0	2493
0	4
5	0
3	289
3	286
3	124
0	85
0	64
0	6
0	0
0	0
0	0
0	0
0	0
2	1823
23	3078
31	405
0	1893
0	215
0	127
235	2979
0	722
0	0
0	0
0	0
0	0
0	9
0	9
0	4
0	4
0	4
0	0
0	0
0	0
2	0
0	0
0	5
0	9
51	1
0	1
0	0
47	622
0	3
0	3
0	76
0	607
0	24
0	241
0	4
0	75
1	2
0	28
0	112
1	4
0	335
0	0
0	1
0	0
10	26
0	1114
0	1116
1	1120
0	3
0	10
1	567
3	443
2	39
0	1115
0	20
1	32
0	97
0	115
0	0
0	0
0	48
0	0
0	0
0	0
0	0
378	1686
0	58
0	2
0	1055
0	5
0	138
3	0
0	31
0	1598
1	1641
0	109
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	56
0	65
0	69
0	57
0	17
0	3
0	26
0	0
4	1
0	0
0	0
0	0
0	23
0	23
0	2
0	5
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
589	2
2	73
3	73
0	2
0	5
0	60
0	0
0	0
0	210
0	0
0	0
286	0
0	0
0	0
180	51
2	51
0	4
1	6
0	15
1015	0
0	0
0	0
0	1
0	1
0	0
0	1
0	0
4	147
0	140
0	147
0	0
0	102
0	120
0	0
0	0
0	147
0	1
0	6
0	118
3	6
0	18
0	0
0	0
0	0
0	0
0	0
0	0
4	127
0	107
0	28
0	38
15	42
0	0
1	14
0	14
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
121	1406
0	762
7	792
0	436
0	736
1	293
0	177
2	2
0	0
18	49
0	2
0	2
0	10
0	0
0	14
7	15
0	0
0	10
0	0
0	0
0	41
0	4
0	0
7	0
0	2
0	2
0	1
0	3
0	0
0	2
0	11
0	0
0	7
0	2
0	11
586	346
0	96
0	68
2	36
1	0
0	0
0	146
0	0
0	6
0	18
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
995	195
2	3
0	20
0	0
0	25
0	0
0	28
0	37
0	147
0	24
0	0
2	78
5	16
0	4
0	8
0	8
