UniqueCount	AmbigCount
0	0
0	0
5	73
7	62
16	49
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
11	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	26
0	23
0	19
0	4
0	2
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
164	189
0	219
68	918
3	86
0	766
1	0
6	81
4	179
0	50
0	43
631	83
0	44
0	40
3	17
0	16
0	55
0	30
0	14
9	1878
3	1878
0	30
9	0
8	899
2	900
0	169
1	128
0	62
0	1
0	0
0	0
0	0
0	1
2	0
0	1311
22	2626
12	68
0	1265
0	14
0	23
89	2605
2	152
0	0
1	0
0	0
1	0
0	173
0	173
0	3
0	15
0	7
0	0
0	0
0	0
23	0
0	0
0	5
0	10
21	0
0	0
0	0
121	906
0	1
0	3
0	26
0	898
0	4
0	348
0	6
0	82
0	3
0	20
0	194
7	19
0	628
0	0
0	0
0	0
30	4
0	141
0	141
0	140
0	0
0	1
0	39
0	30
0	1
0	140
0	5
0	0
0	7
0	8
0	0
0	0
0	32
0	0
0	0
0	0
0	0
681	1966
0	15
0	0
0	911
2	0
0	46
3	0
0	9
2	1866
1	1964
0	35
0	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	360
0	366
0	373
0	348
0	145
0	31
0	111
0	0
1	1
0	0
0	0
0	0
1	30
0	30
0	1
0	0
0	0
0	0
0	0
0	1
0	3
0	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
782	0
0	72
0	72
0	1
0	1
0	49
0	4
0	4
0	469
0	1
1	5
2638	3
0	4
0	0
90	5
0	5
0	1
0	1
0	2
1218	0
0	1
0	0
0	1
0	1
0	1
0	1
0	0
0	189
0	187
0	189
0	0
0	113
1	149
0	0
0	0
0	189
0	0
0	3
0	138
1	10
2	23
0	0
0	0
0	0
0	0
0	0
0	0
6	130
4	111
0	19
0	26
10	24
0	0
1	4
0	4
0	0
2	8
0	13
0	13
0	3
0	3
0	0
0	4
0	0
157	1369
0	1010
3	564
0	275
3	353
1	132
0	58
1	0
0	0
90	97
0	0
0	0
0	19
0	1
0	39
2	40
0	1
0	20
0	1
0	0
2	76
0	3
0	0
18	5
0	8
0	3
7	4
0	4
0	0
0	0
0	21
0	2
0	8
0	3
0	32
1269	218
0	138
0	42
0	8
0	0
0	0
0	30
0	0
0	0
0	2
0	11
3	11
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	2
0	0
0	0
261	64
0	1
0	7
0	0
0	6
0	0
0	6
0	7
0	50
0	13
0	0
48	912
41	137
3	10
1	23
6	81
