UniqueCount	AmbigCount
0	0
0	0
15	72
9	53
44	47
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
4	63
0	43
3	45
4	42
0	22
0	1
0	32
0	22
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
175	112
0	597
103	1231
1	198
4	907
2	0
10	91
1	471
0	176
0	301
886	493
0	301
0	220
3	137
3	117
1	299
2	186
2	45
181	2867
7	2866
1	38
17	0
44	735
6	727
9	238
0	169
0	118
1	6
0	0
0	0
0	0
0	0
1	0
1	4035
45	6858
90	971
2	4080
0	589
0	272
477	6631
0	1651
0	0
0	0
0	0
0	6
0	185
0	185
0	11
0	59
0	16
0	0
0	0
0	0
57	0
0	0
0	13
0	26
15	0
0	0
0	0
38	998
0	5
0	4
0	194
0	957
0	63
0	384
0	8
0	106
0	6
0	32
1	160
0	10
0	475
0	0
0	2
0	0
18	52
0	134
2	134
0	137
0	2
0	2
0	78
0	65
0	4
0	133
0	4
0	0
0	15
0	19
0	0
0	0
0	16
0	0
0	0
0	0
0	0
303	1133
0	55
0	0
0	707
1	1
0	131
1	0
0	22
1	1093
3	1075
0	125
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	477
0	489
0	509
5	391
0	164
3	33
0	221
0	0
0	4
0	0
0	0
0	0
1	103
0	109
0	3
0	3
0	0
0	0
0	0
0	0
2	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
858	1
9	302
3	285
0	14
2	38
5	253
0	0
0	1
0	320
2	1
0	1
5992	24
0	1
0	0
127	18
0	18
0	3
0	4
0	3
1695	0
0	3
0	2
0	1
0	1
0	1
0	0
0	0
8	236
0	222
0	237
0	0
0	143
1	188
0	0
0	0
0	236
0	4
0	10
1	175
0	19
0	9
0	0
0	1
0	0
0	0
0	0
0	1
1	118
0	80
0	22
0	39
29	56
0	0
5	7
0	7
0	0
0	0
0	3
0	3
0	0
0	2
0	0
0	0
0	0
203	2258
0	1111
9	1357
0	723
2	1271
6	487
0	327
0	0
0	0
20	73
0	0
0	0
0	18
0	2
2	31
1	37
0	2
0	20
0	2
0	0
0	70
0	5
0	0
9	0
0	3
1	0
0	1
0	1
0	0
0	2
0	22
0	2
0	5
0	2
0	10
712	365
0	86
0	85
0	21
0	1
0	0
0	172
0	0
0	4
0	15
1	6
1	6
0	0
1	0
0	0
0	0
0	0
0	0
0	0
2	32
0	0
0	0
470	111
0	0
3	24
0	0
0	10
0	0
0	24
0	26
0	73
0	23
0	0
42	1541
22	362
1	62
0	146
