UniqueCount	AmbigCount
0	0
0	0
19	121
16	92
41	76
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
25	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
4	11
0	8
0	7
0	7
0	3
0	0
1	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	1
0	0
0	0
232	144
0	272
66	651
2	106
0	466
0	0
8	60
2	206
0	63
0	205
1018	377
0	204
0	149
1	67
0	63
0	243
0	125
5	39
68	1594
0	1593
0	22
47	0
36	726
6	721
7	187
1	114
0	70
0	5
0	0
1	0
0	0
0	0
1	0
1	2653
64	4740
39	419
2	2706
0	156
0	91
309	4649
7	753
0	0
7	0
0	0
1	4
0	214
0	214
0	13
0	55
3	22
0	0
0	0
0	0
37	0
0	0
0	13
0	22
31	0
0	0
0	0
281	3709
0	7
0	3
1	282
0	3663
0	77
0	1658
1	16
0	471
0	21
0	124
4	682
2	38
0	1790
0	0
0	2
0	0
41	13
3	524
4	527
0	527
0	0
0	2
0	261
0	168
0	10
0	527
0	6
0	7
0	49
0	57
0	0
0	0
0	4
0	0
0	0
0	0
0	0
846	4591
4	146
1	0
0	2807
0	1
0	341
2	0
0	62
10	4409
3	4463
0	36
0	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	545
0	563
0	585
3	438
0	179
0	32
0	196
0	0
0	1
0	0
0	0
0	0
1	74
0	71
0	0
0	1
0	0
0	0
0	0
0	0
1	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
683	4
16	290
8	288
0	6
0	19
1	201
0	0
0	1
0	393
1	1
0	1
5728	24
0	1
0	0
151	28
2	28
0	3
0	0
0	4
2212	4
0	1
0	0
0	1
0	1
0	1
0	0
0	0
3	327
0	318
1	327
0	0
0	185
1	233
0	0
0	0
0	328
0	3
0	11
0	221
1	11
2	22
0	0
0	2
0	2
0	2
0	0
0	0
5	101
4	78
0	30
0	37
9	41
0	0
0	10
0	10
0	0
0	2
0	12
0	12
2	5
0	8
0	0
0	3
0	0
279	2052
0	1173
12	1072
1	590
3	915
1	358
2	153
0	0
0	0
137	383
1	3
0	3
0	37
0	2
2	51
1	65
0	11
0	45
0	5
0	3
12	343
0	8
0	0
12	1
0	11
0	10
1	13
0	11
0	11
0	5
0	121
0	5
4	34
0	9
0	84
2521	789
0	317
0	198
0	50
0	4
0	0
0	220
0	0
0	4
0	14
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	16
0	0
0	0
1489	240
0	2
0	39
0	0
0	14
0	0
0	21
0	35
0	185
0	37
0	0
134	1873
34	284
5	28
