UniqueCount	AmbigCount
0	0
0	0
5	34
6	27
28	24
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
3	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
4	36
0	28
0	27
0	20
0	9
0	4
0	11
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
87	90
1	286
38	647
0	96
0	454
5	0
5	45
4	212
0	54
0	146
631	248
0	146
0	113
0	71
0	53
2	171
0	89
2	17
89	2000
0	2000
0	17
7	0
13	439
6	431
0	163
0	122
0	83
0	9
0	0
0	0
0	0
0	0
0	0
0	2126
33	3585
33	349
5	1924
0	184
0	97
233	3516
0	680
0	0
0	0
0	0
0	0
0	110
0	110
0	9
0	29
0	11
0	0
0	0
0	0
32	0
0	0
0	1
0	1
20	0
0	0
0	0
34	585
0	3
0	0
0	33
0	580
0	16
0	221
0	2
0	75
0	7
0	22
2	125
5	18
0	349
0	0
0	2
0	0
8	12
1	110
0	111
0	111
0	0
0	0
0	39
0	31
0	1
0	111
0	1
0	1
0	8
0	7
0	0
0	0
0	31
0	0
0	0
0	0
0	0
250	955
0	37
0	3
0	577
0	0
0	72
3	0
0	20
1	914
1	928
0	63
0	0
0	0
0	0
1	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	282
0	291
0	291
2	227
0	110
0	24
0	112
0	0
3	0
0	0
0	0
0	0
0	49
0	49
0	0
0	1
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
426	2
6	162
5	160
0	6
0	9
0	109
1	0
0	0
0	168
3	0
0	0
3916	12
0	0
0	0
72	7
1	7
0	0
0	3
0	2
1043	0
0	1
0	0
0	0
0	0
0	1
0	0
0	0
4	168
0	161
0	169
0	0
0	107
0	137
0	0
0	0
0	169
0	2
0	8
0	126
0	5
0	15
0	0
0	0
0	0
0	0
0	0
0	0
2	113
3	93
0	34
0	53
9	54
0	0
1	5
0	5
0	0
0	0
2	3
3	3
0	0
0	0
0	0
0	0
0	0
126	1247
0	745
4	667
0	349
1	509
0	223
0	122
0	0
0	0
8	37
0	0
0	0
0	9
0	0
0	23
4	23
0	0
0	9
0	0
0	0
0	30
0	2
0	0
13	0
0	1
0	0
0	0
0	1
0	0
0	0
0	11
0	0
0	2
0	1
0	8
534	184
0	87
1	43
0	14
0	1
0	0
0	39
0	0
0	0
0	1
0	9
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	0
0	0
322	49
0	0
0	6
0	0
0	4
0	0
0	16
0	13
0	39
0	9
0	0
39	722
19	140
2	25
2	48
1	104
44	727
