[2021-05-20 19:05:49.227] [jointLog] [info] setting maxHashResizeThreads to 6
[2021-05-20 19:05:49.227] [jointLog] [info] Fragment incompatibility prior below threshold.  Incompatible fragments will be ignored.
[2021-05-20 19:05:49.229] [jointLog] [info] numQuantThreads = 3
[2021-05-20 19:05:52.832] [jointLog] [info] replaced 4 non-ACGT nucleotides with random nucleotides
[2021-05-20 19:05:53.149] [fileLog] [info] quantification processed 0 fragments so far

[2021-05-20 19:05:56.138] [fileLog] [info] quantification processed 1000000 fragments so far

[2021-05-20 19:05:59.257] [fileLog] [info] quantification processed 2000000 fragments so far

[2021-05-20 19:06:00.656] [jointLog] [info] 

The alignment group queue pool has been exhausted.  2871092 extra fragments were allocated on the heap to saturate the pool.  No new fragments will be allocated


[2021-05-20 19:06:09.740] [fileLog] [info] quantification processed 3000000 fragments so far

[2021-05-20 19:06:26.007] [fileLog] [info] quantification processed 4000000 fragments so far

[2021-05-20 19:06:41.808] [fileLog] [info] quantification processed 5000000 fragments so far

[2021-05-20 19:06:57.384] [fileLog] [info] quantification processed 6000000 fragments so far

[2021-05-20 19:07:13.080] [fileLog] [info] quantification processed 7000000 fragments so far

[2021-05-20 19:07:16.701] [fileLog] [info] quantification processed 8000000 fragments so far

[2021-05-20 19:07:20.217] [fileLog] [info] quantification processed 9000000 fragments so far

[2021-05-20 19:07:23.690] [fileLog] [info] quantification processed 10000000 fragments so far

[2021-05-20 19:07:27.176] [fileLog] [info] quantification processed 11000000 fragments so far

[2021-05-20 19:07:30.641] [fileLog] [info] quantification processed 12000000 fragments so far

[2021-05-20 19:07:34.168] [fileLog] [info] quantification processed 13000000 fragments so far

[2021-05-20 19:07:37.667] [fileLog] [info] quantification processed 14000000 fragments so far

[2021-05-20 19:07:41.163] [fileLog] [info] quantification processed 15000000 fragments so far

[2021-05-20 19:07:44.696] [fileLog] [info] quantification processed 16000000 fragments so far

[2021-05-20 19:07:48.235] [fileLog] [info] quantification processed 17000000 fragments so far

[2021-05-20 19:07:51.714] [fileLog] [info] quantification processed 18000000 fragments so far

[2021-05-20 19:07:55.232] [fileLog] [info] quantification processed 19000000 fragments so far

[2021-05-20 19:07:58.698] [fileLog] [info] quantification processed 20000000 fragments so far

[2021-05-20 19:08:02.187] [fileLog] [info] quantification processed 21000000 fragments so far

[2021-05-20 19:08:05.469] [fileLog] [info] quantification processed 21934748 fragments so far

[2021-05-20 19:08:12.149] [jointLog] [info] Thread saw mini-batch with a maximum of 4.30% zero probability fragments
[2021-05-20 19:08:12.150] [jointLog] [info] Thread saw mini-batch with a maximum of 3.60% zero probability fragments
[2021-05-20 19:08:12.153] [jointLog] [info] Thread saw mini-batch with a maximum of 2.70% zero probability fragments
[2021-05-20 19:08:12.153] [jointLog] [info] 


Completed first pass through the alignment file.
Total # of mapped reads : 21934748
# of uniquely mapped reads : 8891567
# ambiguously mapped reads : 13043181



[2021-05-20 19:08:12.311] [jointLog] [info] Computed 212336 rich equivalence classes for further processing
[2021-05-20 19:08:12.311] [jointLog] [info] Counted 21848306 total reads in the equivalence classes 
[2021-05-20 19:08:12.313] [jointLog] [info] starting optimizer
[2021-05-20 19:08:12.413] [jointLog] [info] Marked 0 weighted equivalence classes as degenerate
[2021-05-20 19:08:12.428] [jointLog] [info] iteration = 0 | max rel diff. = 8239.42
[2021-05-20 19:08:13.863] [jointLog] [info] iteration = 100 | max rel diff. = 17.5336
[2021-05-20 19:08:15.296] [jointLog] [info] iteration = 200 | max rel diff. = 17.7811
[2021-05-20 19:08:16.724] [jointLog] [info] iteration = 300 | max rel diff. = 6.51652
[2021-05-20 19:08:18.147] [jointLog] [info] iteration = 400 | max rel diff. = 5.47651
[2021-05-20 19:08:19.578] [jointLog] [info] iteration = 500 | max rel diff. = 1.0297
[2021-05-20 19:08:21.006] [jointLog] [info] iteration = 600 | max rel diff. = 0.469455
[2021-05-20 19:08:22.432] [jointLog] [info] iteration = 700 | max rel diff. = 0.0458313
[2021-05-20 19:08:23.860] [jointLog] [info] iteration = 800 | max rel diff. = 1.19921
[2021-05-20 19:08:25.287] [jointLog] [info] iteration = 900 | max rel diff. = 0.0948123
[2021-05-20 19:08:26.721] [jointLog] [info] iteration = 1000 | max rel diff. = 0.249948
[2021-05-20 19:08:28.143] [jointLog] [info] iteration = 1100 | max rel diff. = 0.0181808
[2021-05-20 19:08:29.563] [jointLog] [info] iteration = 1200 | max rel diff. = 0.144363
[2021-05-20 19:08:30.988] [jointLog] [info] iteration = 1300 | max rel diff. = 0.124548
[2021-05-20 19:08:32.424] [jointLog] [info] iteration = 1400 | max rel diff. = 0.0744595
[2021-05-20 19:08:33.841] [jointLog] [info] iteration = 1500 | max rel diff. = 0.0731677
[2021-05-20 19:08:35.263] [jointLog] [info] iteration = 1600 | max rel diff. = 0.0467062
[2021-05-20 19:08:36.689] [jointLog] [info] iteration = 1700 | max rel diff. = 0.104005
[2021-05-20 19:08:38.108] [jointLog] [info] iteration = 1800 | max rel diff. = 0.0906444
[2021-05-20 19:08:38.590] [jointLog] [info] iteration = 1835 | max rel diff. = 0.00890268
[2021-05-20 19:08:38.623] [jointLog] [info] finished optimizer
[2021-05-20 19:08:38.623] [jointLog] [info] writing output
[2021-05-20 19:08:40.408] [jointLog] [info] Computing gene-level abundance estimates
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
[2021-05-20 19:09:12.082] [jointLog] [warning] Feature has no GFF ID
