UniqueCount	AmbigCount
0	0
0	0
11	123
26	110
33	73
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
19	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
1	15
0	8
0	7
0	10
0	3
0	0
0	7
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
263	140
0	445
83	1133
0	142
6	833
3	0
2	80
2	340
0	90
0	219
1049	401
0	219
0	199
1	97
0	48
4	265
0	168
0	50
99	2574
2	2574
0	41
48	0
27	956
3	946
2	320
0	233
0	120
0	11
0	0
0	0
0	0
0	0
2	0
4	3811
64	6695
50	519
0	3610
0	257
1	142
451	6592
4	964
0	0
3	0
0	0
12	2
0	347
0	347
0	27
0	81
2	31
0	0
0	0
0	0
80	0
0	0
0	2
0	17
28	4
0	4
0	0
240	3102
0	2
1	0
0	188
0	3070
0	55
0	1457
4	8
2	405
0	26
0	108
9	615
3	47
0	1703
2	0
0	1
0	0
38	19
3	434
0	435
0	435
0	1
0	0
0	217
0	169
0	8
0	435
0	8
0	6
0	35
0	31
0	0
0	1
0	14
0	0
0	0
0	0
0	0
957	4818
1	140
0	2
0	2946
0	0
0	371
0	0
0	67
1	4633
7	4710
0	41
0	0
0	0
0	0
14	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	766
0	784
0	798
1	625
0	336
0	63
0	314
0	0
3	1
0	0
0	0
0	0
0	78
0	81
0	1
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
832	1
9	331
3	328
0	12
0	27
2	226
0	1
0	3
1	413
1	2
3	4
9021	4
0	4
0	0
185	26
1	26
0	0
0	0
0	1
2521	0
0	5
0	1
0	0
0	0
0	5
0	0
0	0
1	383
0	363
0	383
0	0
0	200
0	267
0	0
0	0
0	383
0	0
0	17
0	258
3	4
4	42
0	4
0	9
0	4
0	7
0	4
0	2
4	79
2	58
0	19
0	19
4	22
0	0
1	9
0	9
0	0
0	1
0	11
2	11
1	3
0	6
0	0
0	6
0	0
319	2857
0	1730
23	1444
0	789
1	1097
1	478
0	204
2	0
0	0
100	247
2	3
0	3
0	36
0	2
0	57
6	64
0	5
0	38
0	6
0	3
0	205
0	4
0	0
17	2
0	6
0	4
3	5
0	2
0	1
0	4
0	70
0	7
0	25
1	5
0	68
2704	834
0	384
0	203
2	65
0	4
0	0
0	178
0	0
0	0
0	4
0	36
0	36
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	19
0	0
0	0
1494	276
1	0
0	27
0	0
0	14
0	0
0	51
0	57
0	233
0	39
0	0
73	1581
48	204
