UniqueCount	AmbigCount
0	0
0	0
0	34
0	15
14	19
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
19	203
0	180
0	180
0	134
0	23
0	0
0	23
0	23
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
227	229
0	1691
272	3015
8	462
0	2098
3	0
22	175
0	1267
0	541
0	378
1732	602
0	378
0	331
0	109
0	194
0	299
0	289
0	66
231	4619
0	4619
1	45
15	0
31	1268
10	1248
0	353
0	247
0	130
0	20
0	0
0	0
0	0
0	0
0	0
0	5807
57	10118
77	1316
3	6585
1	754
0	273
843	9771
0	2468
0	0
0	0
0	0
0	0
0	124
0	124
0	20
0	20
0	20
0	0
0	0
0	0
77	0
0	0
0	0
0	0
9	0
0	0
0	0
38	617
0	0
0	0
0	19
0	609
0	11
0	214
0	21
0	31
0	0
0	8
0	133
0	4
0	411
9	0
0	0
0	0
34	5
0	123
0	123
0	123
0	0
0	0
0	25
0	25
0	0
0	123
0	0
0	0
0	0
0	0
0	0
0	0
0	114
0	0
0	0
0	0
0	0
477	926
4	40
0	0
0	589
0	0
0	49
0	0
0	13
0	877
0	899
0	171
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	655
0	655
0	708
0	594
0	287
0	20
0	357
0	0
0	0
0	0
0	0
0	0
5	78
0	78
0	0
0	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1574	0
9	625
0	611
0	35
12	15
0	489
0	0
0	0
0	406
13	0
0	0
6143	38
0	0
0	0
41	20
6	20
0	20
0	0
0	0
1600	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	352
0	352
0	352
0	0
0	204
0	304
0	0
0	0
0	352
0	15
0	15
0	257
0	32
0	55
0	0
0	0
0	0
0	0
0	0
0	0
0	171
13	144
0	9
0	21
27	36
0	0
0	6
0	6
0	0
0	0
0	7
0	7
0	7
0	0
0	0
0	7
0	0
281	3778
0	1759
24	2176
0	1109
0	2120
5	608
0	576
0	0
0	0
29	87
0	28
0	28
0	28
0	0
0	10
0	10
0	10
0	10
0	10
0	10
0	30
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	13
0	0
0	0
0	0
0	29
538	92
0	50
0	16
0	0
0	0
0	0
0	26
0	0
0	0
0	0
0	22
7	22
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	42
0	0
0	0
631	72
0	0
0	13
0	0
0	14
0	0
0	0
0	8
0	45
0	8
0	0
91	1956
85	567
1	74
