UniqueCount	AmbigCount
0	0
0	0
2	27
1	25
17	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	3
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	1
0	0
0	0
234	165
0	778
130	1721
8	239
1	1243
0	0
20	138
2	609
0	159
0	331
1506	546
0	331
4	264
2	131
0	86
4	365
0	214
1	73
157	4583
4	4583
0	8
4	0
15	411
2	399
0	128
0	89
0	69
0	12
0	0
0	0
0	0
0	0
0	0
3	3249
58	5753
29	443
1	3334
0	209
0	135
332	5653
0	796
0	0
0	0
0	0
0	0
0	8
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	13
56	2
0	2
0	0
240	2036
0	2
0	2
0	137
0	2012
0	30
0	869
1	11
0	266
1	15
0	90
3	333
5	29
0	1118
0	0
0	2
0	0
12	14
0	5854
0	5871
2	5883
0	8
3	18
0	2437
5	1783
0	79
0	5871
0	50
0	73
0	450
3	636
4	0
0	0
0	22
0	0
0	0
0	0
0	0
680	3694
0	129
2	1
0	2295
0	0
0	284
0	0
0	68
0	3539
5	3607
0	77
0	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	50
0	55
0	55
0	38
0	14
0	3
0	19
0	0
7	1
0	0
0	0
0	0
0	12
0	12
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1455	0
4	14
0	14
0	0
0	0
0	9
0	0
0	0
0	1167
0	1
1	1
452	0
0	0
0	0
397	81
0	81
0	3
0	7
0	10
2651	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	84
0	81
0	84
0	0
0	44
0	64
0	0
0	0
0	84
0	2
0	6
0	57
0	3
0	11
0	0
0	0
0	0
0	0
0	0
0	0
4	140
0	114
0	30
0	46
15	54
0	0
0	2
0	2
0	0
0	0
2	1
0	1
0	1
0	1
0	0
0	1
0	0
221	2542
0	1449
27	1358
0	748
0	1161
1	484
3	202
1	0
0	1
55	149
0	4
0	4
0	32
0	4
1	53
7	55
0	5
0	33
0	5
0	4
2	134
0	6
0	0
9	0
1	4
0	4
1	4
0	1
0	0
0	2
0	47
0	1
0	21
0	2
0	28
2411	754
0	345
0	198
0	63
0	0
0	0
0	148
0	0
0	4
0	10
0	3
1	3
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	5
0	0
0	0
595	125
0	0
0	30
0	0
0	2
0	0
0	9
0	14
0	90
0	23
0	0
7	122
