UniqueCount	AmbigCount
0	0
0	0
12	22
3	19
17	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	35
0	30
0	31
0	14
0	8
0	2
0	9
0	5
0	0
0	0
2	0
0	0
0	0
0	0
0	0
1	0
0	1
0	0
0	0
80	73
1	361
67	778
3	110
0	536
3	0
6	66
1	281
0	82
0	244
962	403
0	245
1	194
0	104
0	68
3	270
0	163
5	44
91	2541
2	2541
1	9
13	0
17	332
1	331
0	69
0	42
0	26
0	1
0	0
0	0
0	0
0	0
0	0
0	1709
58	3004
33	299
0	1672
0	123
3	74
190	2911
0	520
0	0
0	0
0	0
0	0
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	9
0	12
36	1
0	1
0	0
114	905
0	3
0	3
0	71
0	886
0	20
0	380
5	6
0	129
1	9
0	34
0	180
10	23
0	465
0	0
0	0
0	0
1	10
0	1847
3	1858
7	1870
0	4
0	2
1	778
4	559
1	27
0	1855
0	21
0	19
0	138
1	201
1	0
0	0
0	12
0	0
0	0
0	0
0	0
418	2386
0	69
0	1
0	1595
1	0
0	195
4	0
0	30
2	2297
0	2331
0	56
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	34
0	37
0	40
0	28
0	6
0	1
0	11
0	0
3	2
0	0
0	0
0	0
0	6
0	8
0	0
0	1
0	0
0	0
0	0
1	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
595	1
3	61
1	60
0	3
0	3
1	40
0	0
0	0
0	349
0	0
0	0
308	2
0	0
0	0
225	36
3	36
0	3
0	3
0	7
1645	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	179
0	172
0	179
0	0
0	107
0	130
0	0
0	0
0	179
0	6
0	12
0	127
0	5
0	18
0	0
0	0
0	0
0	0
0	0
0	0
5	131
2	106
0	34
0	41
14	47
0	0
2	6
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
136	1375
0	775
14	726
0	418
1	629
0	257
0	122
1	0
0	0
20	52
0	2
0	2
0	11
0	1
2	25
9	26
0	2
0	11
0	2
0	1
2	44
0	0
0	0
15	1
0	1
0	0
0	2
0	3
0	0
0	0
0	19
0	0
0	5
0	0
0	8
1012	390
0	143
0	110
0	27
0	3
0	0
0	107
0	0
0	1
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
1325	307
0	2
0	52
0	0
0	21
0	0
0	44
0	46
0	229
0	40
0	0
2	67
4	10
0	3
0	3
