UniqueCount	AmbigCount
0	0
0	0
3	59
5	32
50	49
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
22	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	8
0	8
0	4
0	4
0	4
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	19
0	0
0	0
0	0
168	561
0	1253
37	2682
10	518
0	2080
3	0
12	383
0	1130
0	562
0	196
235	268
0	197
0	252
0	114
0	105
0	180
0	154
0	53
232	2920
6	2920
7	271
22	0
6	673
0	618
5	372
0	326
0	205
0	56
0	0
0	0
0	0
0	0
0	0
3	5795
16	8145
69	1305
0	4775
1	815
0	561
440	7967
0	2071
0	0
23	0
0	0
0	0
0	114
0	114
0	10
0	24
0	15
0	0
0	0
0	0
44	0
0	0
0	7
0	7
12	0
0	0
0	0
27	859
0	0
0	2
0	67
0	830
0	8
0	411
0	5
0	179
0	4
0	127
0	212
0	29
0	369
5	0
0	0
0	0
5	84
0	119
0	119
0	120
0	1
0	3
0	87
0	76
0	8
0	119
0	1
0	4
0	31
0	12
0	0
0	17
1	197
0	0
0	0
0	0
0	0
280	1983
0	89
0	6
0	697
0	29
0	270
0	0
0	61
0	1919
0	1946
0	247
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	405
0	443
0	443
0	420
0	226
0	43
0	194
0	0
5	3
0	0
0	0
0	0
0	145
0	144
0	8
0	25
0	0
0	0
0	0
0	0
5	2
0	26
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1545	12
0	8
0	8
0	0
0	0
0	6
0	0
0	0
0	1592
0	4
0	4
15950	55
0	0
0	0
36	13
0	13
0	0
0	0
0	4
1269	0
0	4
0	4
0	0
0	0
4	0
0	0
0	0
0	62
0	62
0	62
0	0
0	52
0	50
0	0
0	0
0	62
0	5
0	15
0	54
0	6
0	7
0	0
0	4
0	3
0	3
0	0
0	1
0	189
4	177
0	72
0	84
9	84
0	0
0	0
0	0
0	0
0	0
0	1
8	1
0	1
0	1
0	0
0	1
0	0
161	3944
0	2287
5	2195
0	1444
5	2169
1	915
0	564
3	0
0	5
31	150
0	5
0	5
0	30
0	0
0	41
0	42
0	6
0	31
0	6
0	5
0	140
0	6
0	0
6	0
0	0
0	0
0	0
0	0
0	3
0	4
0	65
0	12
0	20
0	0
0	25
1237	478
0	221
0	119
0	35
0	0
0	0
0	103
0	0
0	2
0	18
0	23
0	23
0	0
0	0
0	3
0	0
0	9
1	5
0	0
0	8
0	0
0	0
50	1
0	0
0	0
0	0
0	0
0	4
0	1
0	1
0	1
0	0
0	0
18	1654
25	616
