UniqueCount	AmbigCount
0	0
0	0
12	45
0	39
41	28
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
12	0
0	0
0	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
16	80
0	56
0	52
0	50
0	34
0	6
0	42
0	31
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	4
0	1
0	0
0	0
148	225
0	835
70	1793
0	258
2	1318
1	0
1	152
0	649
0	262
0	256
962	475
0	256
0	250
1	124
0	81
0	339
0	178
1	70
87	2815
0	2811
2	31
7	0
17	589
6	575
1	224
0	173
0	144
0	14
0	0
0	0
0	0
0	0
0	0
4	4402
40	7076
68	916
2	4323
0	501
0	348
434	6914
0	1527
0	0
0	0
0	0
0	0
0	120
0	120
0	5
0	19
0	6
0	0
0	0
0	0
60	0
0	0
0	2
0	5
10	1
0	0
0	1
32	688
0	6
0	0
0	50
0	672
0	18
0	237
0	7
0	77
0	5
0	23
1	110
3	12
0	437
0	0
0	0
0	0
18	16
1	77
0	77
0	77
0	0
0	0
0	24
0	19
0	0
0	77
0	0
0	0
0	1
0	8
0	0
0	1
0	158
0	0
0	0
0	0
0	0
257	836
0	25
0	0
0	444
4	29
0	42
0	0
0	10
0	793
3	814
0	150
0	0
0	0
0	0
1	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	389
0	386
0	408
6	370
0	111
4	28
0	165
0	0
1	0
0	0
0	0
0	0
0	118
0	128
0	0
1	11
0	0
0	0
0	0
3	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
912	8
3	296
3	286
0	6
0	26
3	245
0	0
0	0
0	197
0	2
1	2
3716	8
0	0
0	0
100	9
1	9
0	0
0	0
0	5
1034	0
0	2
0	1
0	1
0	1
0	3
0	1
0	1
4	184
0	180
0	186
0	2
0	111
0	142
0	0
0	0
0	184
0	0
0	7
0	134
0	5
0	18
0	0
0	0
0	0
0	0
0	0
0	0
2	165
0	135
0	49
0	69
17	79
0	0
4	28
0	28
0	0
0	0
0	3
0	3
0	0
0	2
0	0
0	2
0	0
165	2231
0	1305
8	1226
0	666
4	1017
1	463
0	279
0	0
0	0
19	49
0	6
0	6
0	15
0	1
0	14
3	14
0	1
0	10
0	1
0	1
1	40
0	2
0	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
0	19
0	0
0	7
0	4
0	11
492	157
0	58
0	37
3	14
0	0
0	0
0	48
0	0
0	3
0	7
0	15
0	15
0	0
0	0
0	2
0	0
0	0
0	8
0	0
0	48
0	0
0	0
347	75
0	0
0	10
0	0
0	2
0	0
0	10
0	13
0	63
0	13
0	0
27	934
20	225
0	38
1	91
6	150
