"","ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","chromosome_name","start_position","end_position","strand","description"
"1","ENSMUSG00000064341",17716,"mt-Nd1","protein_coding","MT",2751,3707,1,"mitochondrially encoded NADH dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:101787]"
"2","ENSMUSG00000064345",17717,"mt-Nd2","protein_coding","MT",3914,4951,1,"mitochondrially encoded NADH dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:102500]"
"3","ENSMUSG00000064351",17708,"mt-Co1","protein_coding","MT",5328,6872,1,"mitochondrially encoded cytochrome c oxidase I [Source:MGI Symbol;Acc:MGI:102504]"
"4","ENSMUSG00000064354",17709,"mt-Co2","protein_coding","MT",7013,7696,1,"mitochondrially encoded cytochrome c oxidase II [Source:MGI Symbol;Acc:MGI:102503]"
"5","ENSMUSG00000064356",17706,"mt-Atp8","protein_coding","MT",7766,7969,1,"mitochondrially encoded ATP synthase 8 [Source:MGI Symbol;Acc:MGI:99926]"
"6","ENSMUSG00000064357",17705,"mt-Atp6","protein_coding","MT",7927,8607,1,"mitochondrially encoded ATP synthase 6 [Source:MGI Symbol;Acc:MGI:99927]"
"7","ENSMUSG00000064358",17710,"mt-Co3","protein_coding","MT",8607,9390,1,"mitochondrially encoded cytochrome c oxidase III [Source:MGI Symbol;Acc:MGI:102502]"
"8","ENSMUSG00000064360",17718,"mt-Nd3","protein_coding","MT",9459,9806,1,"mitochondrially encoded NADH dehydrogenase 3 [Source:MGI Symbol;Acc:MGI:102499]"
"9","ENSMUSG00000065947",17720,"mt-Nd4l","protein_coding","MT",9877,10173,1,"mitochondrially encoded NADH dehydrogenase 4L [Source:MGI Symbol;Acc:MGI:102497]"
"10","ENSMUSG00000064363",17719,"mt-Nd4","protein_coding","MT",10167,11544,1,"mitochondrially encoded NADH dehydrogenase 4 [Source:MGI Symbol;Acc:MGI:102498]"
"11","ENSMUSG00000064367",17721,"mt-Nd5","protein_coding","MT",11742,13565,1,"mitochondrially encoded NADH dehydrogenase 5 [Source:MGI Symbol;Acc:MGI:102496]"
"12","ENSMUSG00000064368",17722,"mt-Nd6","protein_coding","MT",13552,14070,-1,"mitochondrially encoded NADH dehydrogenase 6 [Source:MGI Symbol;Acc:MGI:102495]"
"13","ENSMUSG00000064370",17711,"mt-Cytb","protein_coding","MT",14145,15288,1,"mitochondrially encoded cytochrome b [Source:MGI Symbol;Acc:MGI:102501]"
"14","ENSMUSG00000095019",NA,"","protein_coding","JH584303.1",81607,82689,1,""
"15","ENSMUSG00000096776",100039479,"Vmn1r186","protein_coding","GL456219.1",94186,95088,-1,"vomeronasal 1 receptor Vmn1r186 [Source:NCBI gene (formerly Entrezgene);Acc:100039479]"
"16","ENSMUSG00000094303",108168681,"","protein_coding","JH584297.1",19740,22248,-1,""
"17","ENSMUSG00000094722",NA,"","protein_coding","JH584298.1",90528,93623,1,""
"18","ENSMUSG00000095666",NA,"","protein_coding","JH584296.1",41338,44417,-1,""
"19","ENSMUSG00000094741",100503733,"","protein_coding","GL456354.1",6366,8939,1,""
"20","ENSMUSG00000079222",NA,"","protein_coding","GL456221.1",17591,30203,-1,""
"21","ENSMUSG00000094836",NA,"","protein_coding","JH584299.1",4975,7356,1,""
"22","ENSMUSG00000095742",NA,"","protein_coding","JH584295.1",66,1479,-1,""
"23","ENSMUSG00000095041",NA,"","protein_coding","JH584304.1",52190,59690,-1,""
"24","ENSMUSG00000094915",NA,"","protein_coding","GL456212.1",31967,34932,-1,""
"25","ENSMUSG00000079808",102638047,"","protein_coding","GL456212.1",128555,150452,-1,""
"26","ENSMUSG00000074720",NA,"","protein_coding","GL456354.1",25923,27230,-1,""
"27","ENSMUSG00000096244",100039499,"","protein_coding","GL456219.1",149261,150163,-1,"vomeronasal 1 receptor Vmn1r187 [Source:NCBI gene (formerly Entrezgene);Acc:100039499]"
"28","ENSMUSG00000096236",NA,"","protein_coding","JH584297.1",31101,33667,1,""
"29","ENSMUSG00000095728",NA,"","protein_coding","JH584298.1",168268,170838,-1,""
"30","ENSMUSG00000094383",108168683,"","protein_coding","JH584299.1",90482,93220,1,""
"31","ENSMUSG00000094383",108168684,"","protein_coding","JH584299.1",90482,93220,1,""
"32","ENSMUSG00000094383",108169098,"","protein_coding","JH584299.1",90482,93220,1,""
"33","ENSMUSG00000094383",108169101,"","protein_coding","JH584299.1",90482,93220,1,""
"34","ENSMUSG00000096680",NA,"","protein_coding","JH584296.1",130715,133448,-1,""
"35","ENSMUSG00000094874",102633783,"","protein_coding","GL456221.1",30394,32306,-1,""
"36","ENSMUSG00000094337",NA,"","protein_coding","GL456354.1",82993,86051,-1,""
"37","ENSMUSG00000096756",NA,"","protein_coding","JH584297.1",108318,111392,-1,""
"38","ENSMUSG00000095076",NA,"","protein_coding","JH584298.1",179693,182203,1,""
"39","ENSMUSG00000095500",NA,"","protein_coding","GL456221.1",32239,47294,1,""
"40","ENSMUSG00000095505",NA,"","protein_coding","JH584296.1",195181,197903,-1,""
"41","ENSMUSG00000094474",NA,"","protein_coding","JH584299.1",173050,176134,1,""
"42","ENSMUSG00000095450",NA,"","protein_coding","GL456221.1",46295,46666,-1,""
"43","ENSMUSG00000095570",NA,"","protein_coding","GL456354.1",146926,149659,-1,""
"44","ENSMUSG00000094728",NA,"","protein_coding","GL456221.1",58743,59114,1,""
"45","ENSMUSG00000094791",NA,"","protein_coding","JH584299.1",314841,317584,1,""
"46","ENSMUSG00000096728",NA,"","protein_coding","GL456354.1",158543,161339,1,""
"47","ENSMUSG00000062783",114564,"Csprs","protein_coding","GL456221.1",111572,163011,-1,"component of Sp100-rs [Source:NCBI gene (formerly Entrezgene);Acc:114564]"
"48","ENSMUSG00000096550",545762,"Gm16367","protein_coding","JH584299.1",477246,480331,1,"predicted gene 16367 [Source:NCBI gene (formerly Entrezgene);Acc:545762]"
"49","ENSMUSG00000096808",NA,"","protein_coding","GL456221.1",151235,152734,1,""
"50","ENSMUSG00000094172",620551,"","protein_coding","JH584299.1",562161,564894,1,""
"51","ENSMUSG00000094887",100041806,"","protein_coding","JH584299.1",587624,625594,1,""
"52","ENSMUSG00000091585",108168685,"","protein_coding","JH584299.1",716296,720517,1,""
"53","ENSMUSG00000095763",NA,"","protein_coding","JH584299.1",806210,809281,1,""
"54","ENSMUSG00000095250",NA,"","protein_coding","GL456211.1",30483,32396,-1,""
"55","ENSMUSG00000095787",NA,"","protein_coding","GL456211.1",54469,54840,-1,""
"56","ENSMUSG00000095523",NA,"","protein_coding","JH584299.1",837364,840451,1,""
"57","ENSMUSG00000096100",NA,"","protein_coding","GL456211.1",66955,67326,1,""
"58","ENSMUSG00000095475",NA,"","protein_coding","JH584299.1",910289,913083,-1,""
"59","ENSMUSG00000095672",NA,"","protein_coding","GL456211.1",160465,162404,-1,""
"60","ENSMUSG00000094855",620639,"","protein_coding","JH584299.1",921942,924675,1,""
"61","ENSMUSG00000079190",NA,"","protein_coding","GL456211.1",167446,196478,1,""
"62","ENSMUSG00000094514",NA,"","protein_coding","GL456211.1",226405,229375,-1,""
"63","ENSMUSG00000079800",NA,"","protein_coding","GL456210.1",9124,58882,-1,""
"64","ENSMUSG00000095092",NA,"","protein_coding","GL456210.1",108390,110303,-1,""
"65","ENSMUSG00000079192",NA,"","protein_coding","GL456210.1",123792,124928,1,""
"66","ENSMUSG00000079794",NA,"","protein_coding","GL456210.1",135395,136519,-1,""
"67","ENSMUSG00000094799",NA,"","protein_coding","GL456210.1",147792,149707,1,""
"68","ENSMUSG00000095634",100039810,"Gm20816","protein_coding","Y",68549224,68551559,1,"predicted gene, 20816 [Source:MGI Symbol;Acc:MGI:5434172]"
"69","ENSMUSG00000095634",100861743,"Gm20816","protein_coding","Y",68549224,68551559,1,"predicted gene, 20816 [Source:MGI Symbol;Acc:MGI:5434172]"
"70","ENSMUSG00000095634",100862360,"Gm20816","protein_coding","Y",68549224,68551559,1,"predicted gene, 20816 [Source:MGI Symbol;Acc:MGI:5434172]"
"71","ENSMUSG00000095634",108168596,"Gm20816","protein_coding","Y",68549224,68551559,1,"predicted gene, 20816 [Source:MGI Symbol;Acc:MGI:5434172]"
"72","ENSMUSG00000100032",NA,"Gm20817","protein_coding","Y",68817865,68843997,-1,"predicted gene, 20817 [Source:MGI Symbol;Acc:MGI:5434173]"
"73","ENSMUSG00000094789",NA,"Gm28490","protein_coding","Y",31558069,31590101,-1,"predicted gene 28490 [Source:MGI Symbol;Acc:MGI:5579196]"
"74","ENSMUSG00000102388",NA,"Gm33815","protein_coding","Y",69332401,69343130,1,"predicted gene, 33815 [Source:MGI Symbol;Acc:MGI:5592974]"
"75","ENSMUSG00000095263",NA,"Gm21094","protein_coding","Y",32543760,32575788,-1,"predicted gene, 21094 [Source:MGI Symbol;Acc:MGI:5434449]"
"76","ENSMUSG00000099550",75204,"Gm28079","protein_coding","Y",70015477,70026168,-1,"predicted gene 28079 [Source:MGI Symbol;Acc:MGI:5578785]"
"77","ENSMUSG00000099530",NA,"Gm29644","protein_coding","Y",70282575,70314612,-1,"predicted gene 29644 [Source:MGI Symbol;Acc:MGI:5580350]"
"78","ENSMUSG00000094052",100861667,"Gm21118","protein_coding","Y",70282575,70284911,-1,"predicted gene, 21118 [Source:MGI Symbol;Acc:MGI:5434473]"
"79","ENSMUSG00000101725",NA,"Gm29423","protein_coding","Y",70303854,70314556,-1,"predicted gene 29423 [Source:MGI Symbol;Acc:MGI:5580129]"
"80","ENSMUSG00000095011",NA,"Gm20838","protein_coding","Y",33466461,33498509,-1,"predicted gene, 20838 [Source:MGI Symbol;Acc:MGI:5434194]"
"81","ENSMUSG00000094616",108168524,"Gm20888","protein_coding","Y",70453151,70479427,1,"predicted gene, 20888 [Source:MGI Symbol;Acc:MGI:5434244]"
"82","ENSMUSG00000094616",108168527,"Gm20888","protein_coding","Y",70453151,70479427,1,"predicted gene, 20888 [Source:MGI Symbol;Acc:MGI:5434244]"
"83","ENSMUSG00000094616",108168532,"Gm20888","protein_coding","Y",70453151,70479427,1,"predicted gene, 20888 [Source:MGI Symbol;Acc:MGI:5434244]"
"84","ENSMUSG00000094616",108168595,"Gm20888","protein_coding","Y",70453151,70479427,1,"predicted gene, 20888 [Source:MGI Symbol;Acc:MGI:5434244]"
"85","ENSMUSG00000099531",NA,"Gm20869","protein_coding","Y",71480718,71506901,1,"predicted gene, 20869 [Source:MGI Symbol;Acc:MGI:5434225]"
"86","ENSMUSG00000100535",73329,"Gm20870","protein_coding","Y",71703312,71729495,1,"predicted gene, 20870 [Source:MGI Symbol;Acc:MGI:5434226]"
"87","ENSMUSG00000095793",108168545,"Gm20855","protein_coding","Y",35061029,35087178,-1,"predicted gene, 20855 [Source:MGI Symbol;Acc:MGI:5434211]"
"88","ENSMUSG00000096902",108168524,"Gm20843","protein_coding","Y",72232132,72258387,-1,"predicted gene, 20843 [Source:MGI Symbol;Acc:MGI:5434199]"
"89","ENSMUSG00000096902",108168530,"Gm20843","protein_coding","Y",72232132,72258387,-1,"predicted gene, 20843 [Source:MGI Symbol;Acc:MGI:5434199]"
"90","ENSMUSG00000096902",108168532,"Gm20843","protein_coding","Y",72232132,72258387,-1,"predicted gene, 20843 [Source:MGI Symbol;Acc:MGI:5434199]"
